DINFLAG,BENZ,BENZ2,BENZ3,BRAND,ALTNO,ALTNO2,COLORCODE,REMARKS,DATE,COST,SELL,QTY,CURRENCY,FCAMOUNT,CONVERSION,LOCATION
,,,,GLYCO,H 712/7 (.25),,,,04/18/1990,1678.00,2400.00,0,,0.00,0.00,
,,,,GLYCO,H 712/7 (.25),,,,01/02/1992,0.00,3600.00,0,,0.00,0.00,
,,,,GLYCO,H 712/7 (.25),,,,01/01/1993,0.00,3600.00,0,,0.00,0.00,
,,,,GLYCO,H 712/7 (.50),,,,04/18/1990,1678.00,2400.00,0,,0.00,0.00,
,,,,GLYCO,H 712/7 (STD.),,,,04/18/1990,1648.00,2400.00,0,,0.00,0.00,
,,,,GLYCO,H 712/7 (STD.),,,,01/02/1992,0.00,3600.00,0,,0.00,0.00,
,,,,GLYCO,H 790/7 (.25),,,,02/02/1993,1441.00,2100.00,0,,0.00,0.00,
,,,,GLYCO,H 790/7 (.50),,,,01/02/1991,0.00,2050.00,0,,0.00,0.00,
,,,,GLYCO,H 790/7 (.50),,,,02/03/1993,1728.00,2800.00,0,,0.00,0.00,
,,,,GLYCO,H 790/7 (1.00),,,,12/31/1989,0.00,1380.00,1,,0.00,0.00,
,,,,GLYCO,H 796/5 (.25),,,,02/02/1993,963.00,1450.00,0,,0.00,0.00,
,,,,GLYCO,H 796/5 (.50),,,,04/18/1990,666.00,890.00,0,,0.00,0.00,
,,,,GLYCO,H 796/5 (.50),,,,01/02/1992,0.00,1335.00,0,,0.00,0.00,
,,,,GLYCO,H 796/5 (.75),,,,08/26/1992,1224.00,1900.00,0,,0.00,0.00,
,,,,GLYCO,H 796/5 (1.00),,,,04/18/1990,737.47,950.00,0,,0.00,0.00,
,,,,GLYCO,H 796/5 (1.00),,,,01/02/1991,0.00,1450.00,0,,0.00,0.00,
,,,,GLYCO,H 796/5 (STD.),,,,05/23/1991,864.00,1400.00,0,,0.00,0.00,
,,,,GLYCO,H 796/5 (STD.),,,,01/02/1992,0.00,1400.00,0,,0.00,0.00,
,,,,GLYCO,H 797/5 (.25),,,,05/23/1991,935.00,1500.00,0,,0.00,0.00,
,,,,GLYCO,H 797/5 (.25),,,,01/01/1993,0.00,1500.00,3,,0.00,0.00,
,,,,GLYCO,H 797/5 (.25),,,,02/02/1993,1014.00,1600.00,3,,0.00,0.00,
,,,,GLYCO,H 797/5 (.50),,,,12/31/1989,0.00,750.00,2,,0.00,0.00,
,,,,GLYCO,H 797/5 (STD.),,,,12/31/1989,0.00,750.00,0,,0.00,0.00,
,,,,GLYCO,H 801/5 (.25),,,,04/18/1990,810.00,1150.00,0,,0.00,0.00,
,,,,GLYCO,H 801/5 (.25),,,,08/26/1992,1240.00,1890.00,0,,0.00,0.00,
,,,,GLYCO,H 801/5 (.50),,,,01/02/1991,0.00,1500.00,2,,0.00,0.00,
,,,,GLYCO,H 801/5 (.50),,,,08/26/1992,1240.00,1890.00,1,,0.00,0.00,
